Produto;Preáo;Pgto.;Nß Parcelas;Parcelamento;Data;Cliente;E-mail;DDD;Estado;Regi∆o;Telefone
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;14/05/2018;Kati£ssia Martins;kati£ssia@gmail.com;75;Bahia;Nordeste;992400000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;14/05/2018;Regis Martins;regis@hotmail.com;41;Paran†;Sul;999800000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;14/05/2018;Erich Martins;erich@gmail.com;11;S∆o Paulo;Sudeste;974000000
Produto A;R$ 500;Boleto Banc†rio;6;Parcelado;15/05/2018;Silvania Martins;silvania@gmail.com;61;Distrito Federal;Centro-Oeste;999600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;15/05/2018;Maick Martins;maick@gmail.com;31;Minas Gerais;Sudeste;988000000
Produto C;R$ 2.000;Cart∆o de Credito;5;Parcelado;15/05/2018;Edineia Martins;edineia@gmail.com;11;S∆o Paulo;Sudeste;963300000
Produto C;R$ 2.000;Cart∆o de Credito;2;Parcelado;15/05/2018;Kelvin Martins;kelvin@hotmail.com;11;S∆o Paulo;Sudeste;996300000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;15/05/2018;Gabriela Martins;gabriela@yahoo.com.br;11;S∆o Paulo;Sudeste;998700000
Produto B;R$ 1.000;Cart∆o de Credito;4;Parcelado;15/05/2018;Alexval Martins;alexval@hotmail.com;48;Santa Catarina;Sul;999100000
Produto B;R$ 1.000;Cart∆o de Credito;2;Parcelado;15/05/2018;Giulianna Martins;giulianna@gmail.com;19;S∆o Paulo;Sudeste;971300000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;16/05/2018;Dimitrya Martins;dimitrya@gmail.com;42;Paran†;Sul;998300000
Produto A;R$ 500;Boleto Banc†rio;6;Parcelado;16/05/2018;Mirela Martins;mirela@hotmail.com;11;S∆o Paulo;Sudeste;959400000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;16/05/2018;Aliny Martins;aliny@hotmail.com;11;S∆o Paulo;Sudeste;950700000
Produto A;R$ 500;Cart∆o de Credito;8;Parcelado;16/05/2018;Ariana Martins;ariana@gmail.com;11;S∆o Paulo;Sudeste;961400000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;17/05/2018;Elaine Martins;elaine@gmail.com;21;Rio de Janeiro;Sudeste;979800000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;17/05/2018;Jayne Martins;jayne@hotmail.com;66;Mato Grosso;Centro-Oeste;999200000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;17/05/2018;Danrley Martins;danrley@gmail.com;21;Rio de Janeiro;Sudeste;983800000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;17/05/2018;Vanderleia Martins;vanderleia@hotmail.com;11;S∆o Paulo;Sudeste;952000000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;17/05/2018;Fabio Martins;fabio@gmail.com;21;Rio de Janeiro;Sudeste;995500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;17/05/2018;Marlene Martins;marlene@gmail.com;11;S∆o Paulo;Sudeste;995700000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;17/05/2018;Marciano Martins;marciano@gmail.com;62;Goi†s;Centro-Oeste;992800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;17/05/2018;Graciele Martins;graciele@hotmail.com;11;S∆o Paulo;Sudeste;947500000
Produto B;R$ 1.000;Cart∆o de Credito;8;Parcelado;17/05/2018;Lucas Martins;lucas@hotmail.com;11;S∆o Paulo;Sudeste;989100000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;17/05/2018;Dourivaldo Martins;dourivaldo@hotmail.com;11;S∆o Paulo;Sudeste;954700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;18/05/2018;Maristhela Martins;maristhela@hotmail.com;11;S∆o Paulo;Sudeste;959800000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;18/05/2018;Giuglia Martins;giuglia@gmail.com;14;S∆o Paulo;Sudeste;997600000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;18/05/2018;Alderico Martins;alderico@hotmail.com;11;S∆o Paulo;Sudeste;984400000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;18/05/2018;Cleydieny Martins;cleydieny@gmail.com;94;Par†;Norte;981500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;18/05/2018;Mylene Martins;mylene@gmail.com;11;S∆o Paulo;Sudeste;997300000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;18/05/2018;Felipe Martins;felipe@gmail.com;16;S∆o Paulo;Sudeste;981300000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;18/05/2018;Monyke Martins;monyke@globo.com;21;Rio de Janeiro;Sudeste;993200000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;18/05/2018;Natalia Martins;natalia@hotmail.com;98;Maranh∆o;Nordeste;988000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;19/05/2018;Agda Martins;agda@hotmail.com;11;S∆o Paulo;Sudeste;975800000
Produto B;R$ 1.000;Cart∆o de Credito;5;Parcelado;19/05/2018;Gizelle Martins;gizelle@gmail.com;11;S∆o Paulo;Sudeste;957400000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;19/05/2018;Ronaldo Martins;ronaldo@gmail.com;21;Rio de Janeiro;Sudeste;973300000
Produto C;R$ 2.000;Cart∆o de Credito;10;Parcelado;19/05/2018;Giulia Martins;giulia@gmail.com;11;S∆o Paulo;Sudeste;975000000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;19/05/2018;Cezari Martins;cezari@gmail.com;47;Santa Catarina;Sul;997200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;19/05/2018;Bettina Martins;bettina@yahoo.com.br;24;Rio de Janeiro;Sudeste;999900000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;19/05/2018;Brena Martins;brena@gmail.com;22;Rio de Janeiro;Sudeste;988300000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;19/05/2018;Danccelly Martins;danccelly@yahoo.com.br;11;S∆o Paulo;Sudeste;996700000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;19/05/2018;Diogo Martins;diogo@gmail.com;11;S∆o Paulo;Sudeste;996300000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;20/05/2018;Aloisio Martins;aloisio@outlook.com;17;S∆o Paulo;Sudeste;991500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;20/05/2018;Gabriella Martins;gabriella@gmail.com;11;S∆o Paulo;Sudeste;982200000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;20/05/2018;Elizeu Martins;elizeu@outlook.com.br;84;Rio Grande do Norte;Nordeste;996100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;20/05/2018;Jeny Martins;jeny@hotmail.com;84;Rio Grande do Norte;Nordeste;996500000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;21/05/2018;Elias Martins;elias@gmail.com;47;Santa Catarina;Sul;920800000
Produto B;R$ 1.000;Boleto Banc†rio;12;Parcelado;21/05/2018;Wanderlei Martins;wanderlei@hotmail.com;15;S∆o Paulo;Sudeste;991900000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;21/05/2018;Cauan Martins;cauan@hotmail.com;11;S∆o Paulo;Sudeste;983300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;21/05/2018;Suelen Martins;suelen@gmail.com;48;Santa Catarina;Sul;999000000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;21/05/2018;Jose Martins;jose@gmail.com;11;S∆o Paulo;Sudeste;950700000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;21/05/2018;Victor Martins;victor@outlook.com;11;S∆o Paulo;Sudeste;999200000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;21/05/2018;Fabiane Martins;fabiane@hotmail.com;48;Santa Catarina;Sul;984100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;22/05/2018;Presley Martins;presley@hotmail.com;28;Esp°rito Santo;Sudeste;999500000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;22/05/2018;Denner Martins;denner@gmail.com;35;Minas Gerais;Sudeste;999200000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;22/05/2018;Izabella Martins;izabella@gmail.com;31;Minas Gerais;Sudeste;999700000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;22/05/2018;Thales Martins;thales@gmail.com;43;Paran†;Sul;996600000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;23/05/2018;Iroch Martins;iroch@yahoo.com.br;75;Bahia;Nordeste;991500000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;23/05/2018;Thain† Martins;thaina@hotmail.com;21;Rio de Janeiro;Sudeste;972000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;23/05/2018;Christiano Martins;christiano@hotmail.com;51;Rio Grande do Sul;Sul;999800000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;23/05/2018;Glaucielle Martins;glaucielle@hotmail.com;21;Rio de Janeiro;Sudeste;980800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;23/05/2018;Gedson Martins;gedson@hotmail.com;75;Bahia;Nordeste;991200000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;23/05/2018;Macgregor Martins;macgregor@gmail.com;51;Rio Grande do Sul;Sul;991600000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;24/05/2018;Ubaiara Martins;ubaiara@gmail.com;11;S∆o Paulo;Sudeste;998500000
Produto A;R$ 500;Cart∆o de Credito;3;Parcelado;24/05/2018;Ana Martins;ana@gmail.com;21;Rio de Janeiro;Sudeste;981400000
Produto C;R$ 2.000;Cart∆o de Credito;3;Parcelado;24/05/2018;Sandrelly Martins;sandrelly@gmail.com;27;Esp°rito Santo;Sudeste;999600000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;24/05/2018;Fernando Martins;fernando@hotmail.com;41;Paran†;Sul;995400000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;24/05/2018;Celso Martins;celso@yahoo.com;41;Paran†;Sul;988600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;24/05/2018;Eliel Martins;eliel@gmail.com;21;Rio de Janeiro;Sudeste;997700000
Produto A;R$ 500;Cart∆o de Credito;7;Parcelado;24/05/2018;Irlanna Martins;irlanna@gmail.com;62;Goi†s;Centro-Oeste;983300000
Produto C;R$ 2.000;Boleto Banc†rio;5;Parcelado;25/05/2018;Wladsom Martins;wladsom@gmail.com;85;Cear†;Nordeste;988600000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;25/05/2018;Adrielle Martins;adrielle@gmail.com;21;Rio de Janeiro;Sudeste;964300000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;25/05/2018;Aquiurio Martins;aquiurio@hotmail.com;51;Rio Grande do Sul;Sul;992500000
Produto C;R$ 2.000;Cart∆o de Credito;6;Parcelado;25/05/2018;Emilly Martins;emilly@hotmail.com;71;Bahia;Nordeste;996600000
Produto A;R$ 500;Boleto Banc†rio;4;Parcelado;25/05/2018;Cristian Martins;cristian@gmail.com;11;S∆o Paulo;Sudeste;992400000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;25/05/2018;Nickolas Martins;nickolas@hotmail.com;11;S∆o Paulo;Sudeste;963000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;25/05/2018;Juliano Martins;juliano@gmail.com;45;Paran†;Sul;988100000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;25/05/2018;Katiuscia Martins;katiuscia@gmail.com;85;Cear†;Nordeste;996200000
Produto A;R$ 500;Cart∆o de Credito;3;Parcelado;25/05/2018;Liniker Martins;liniker@hotmail.com;61;Distrito Federal;Centro-Oeste;998700000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;25/05/2018;Angelica Martins;angelica@gmail.com;34;Minas Gerais;Sudeste;988500000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;26/05/2018;Get£lio Martins;get£lio@gmail.com;32;Minas Gerais;Sudeste;999800000
Produto A;R$ 500;Boleto Banc†rio;12;Parcelado;26/05/2018;Tatiany Martins;tatiany@gmail.com;71;Bahia;Nordeste;996700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;26/05/2018;Laslley Martins;laslley@gmail.com;75;Bahia;Nordeste;999200000
Produto C;R$ 2.000;Cart∆o de Credito;1;∑ vista;26/05/2018;L£cia Martins;l£cia@gmail.com;61;Distrito Federal;Centro-Oeste;984100000
Produto B;R$ 1.000;Boleto Banc†rio;10;Parcelado;26/05/2018;Danila Martins;danila@hotmail.com;11;S∆o Paulo;Sudeste;983500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;26/05/2018;Luzimar Martins;luzimar@gmail.com;21;Rio de Janeiro;Sudeste;981200000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;26/05/2018;Nyara Martins;nyara@gmail.com;83;Para°ba;Nordeste;996000000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;27/05/2018;Pietro Martins;pietro@gmail.com;19;S∆o Paulo;Sudeste;993500000
Produto B;R$ 1.000;Cart∆o de Credito;5;Parcelado;27/05/2018;Gilmor Martins;gilmor@gmail.com;11;S∆o Paulo;Sudeste;954900000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/05/2018;Osmair Martins;osmair@hotmail.com;65;Mato Grosso;Centro-Oeste;981000000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;27/05/2018;Daniella Martins;daniella@gmail.com;11;S∆o Paulo;Sudeste;948100000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;27/05/2018;Roque Martins;roque@hotmail.com;11;S∆o Paulo;Sudeste;941600000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/05/2018;Murilo Martins;murilo@hotmail.com;63;Tocantins;Norte;992900000
Produto A;R$ 500;Cart∆o de Credito;9;Parcelado;27/05/2018;Giovano Martins;giovano@gmail.com;21;Rio de Janeiro;Sudeste;994800000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;27/05/2018;Marilucia Martins;marilucia@gmail.com;34;Minas Gerais;Sudeste;991200000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;27/05/2018;Jayson Martins;jayson@gmail.com;92;Amazonas;Norte;991800000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;27/05/2018;Kaliton Martins;kaliton@gmail.com;11;S∆o Paulo;Sudeste;970300000
Produto B;R$ 1.000;Boleto Banc†rio;3;Parcelado;28/05/2018;Isabella Martins;isabella@gmail.com;11;S∆o Paulo;Sudeste;988800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/05/2018;Jeanderson Martins;jeanderson@gmail.com;11;S∆o Paulo;Sudeste;975300000
Produto A;R$ 500;Boleto Banc†rio;6;Parcelado;28/05/2018;Alan Martins;alan@gmail.com;11;S∆o Paulo;Sudeste;981500000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;28/05/2018;Henaldo Martins;henaldo@gmail.com;34;Minas Gerais;Sudeste;999100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;28/05/2018;Geisa Martins;geisa@hotmail.com;88;Cear†;Nordeste;981100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;28/05/2018;Lucineia Martins;lucineia@yahoo.com.br;31;Minas Gerais;Sudeste;987400000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;28/05/2018;Milton Martins;milton@yahoo.com.br;62;Goi†s;Centro-Oeste;999200000
Produto C;R$ 2.000;Cart∆o de Credito;4;Parcelado;29/05/2018;Deidi Martins;deidi@gmail.com;34;Minas Gerais;Sudeste;999200000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;29/05/2018;Eguinaldo Martins;eguinaldo@gmail.com;64;Goi†s;Centro-Oeste;999400000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;30/05/2018;Decio Martins;decio@hotmail.com;94;Par†;Norte;991200000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;30/05/2018;Deimerson Martins;deimerson@gmail.com;94;Par†;Norte;991300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;30/05/2018;Nivaldo Martins;nivaldo@hotmail.com;81;Pernambuco;Nordeste;991300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;31/05/2018;Thayana Martins;thayana@gmail.com;62;Goi†s;Centro-Oeste;986000000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;31/05/2018;Natalia Martins;natalia@gmail.com;21;Rio de Janeiro;Sudeste;983100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;31/05/2018;Nayara Martins;nayara@gmail.com;34;Minas Gerais;Sudeste;991800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;31/05/2018;Pablius Martins;pablius@gmail.com;21;Rio de Janeiro;Sudeste;998400000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;31/05/2018;Verinandia Martins;verinandia@hotmail.com;81;Pernambuco;Nordeste;988300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;31/05/2018;Celio Martins;celio@gmail.com;11;S∆o Paulo;Sudeste;972600000
Produto C;R$ 2.000;Cart∆o de Credito;5;Parcelado;01/06/2018;Railson Martins;railson@hotmail.com;11;S∆o Paulo;Sudeste;941200000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;01/06/2018;Osvaldo Martins;osvaldo@hotmail.com;14;S∆o Paulo;Sudeste;991600000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;01/06/2018;Glayce Martins;glayce@gmail.com;21;Rio de Janeiro;Sudeste;996600000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;01/06/2018;Yghor Martins;yghor@hotmail.com;19;S∆o Paulo;Sudeste;992300000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;01/06/2018;Marcos Martins;marcos@gmail.com;94;Par†;Norte;981300000
Produto A;R$ 500;Cart∆o de Credito;7;Parcelado;01/06/2018;Anne Martins;anne@outlook.com;84;Rio Grande do Norte;Nordeste;991500000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;01/06/2018;Yen Martins;yen@gmail.com;31;Minas Gerais;Sudeste;994300000
Produto A;R$ 500;Cart∆o de Credito;2;Parcelado;01/06/2018;Valdivam Martins;valdivam@hotmail.com;75;Bahia;Nordeste;992900000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;01/06/2018;Edvaldo Martins;edvaldo@gmail.com;18;S∆o Paulo;Sudeste;996800000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;02/06/2018;Cecilia Martins;cecilia@uol.com.br;11;S∆o Paulo;Sudeste;965700000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;02/06/2018;Celina Martins;celina@hotmail.com;11;S∆o Paulo;Sudeste;985800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;02/06/2018;Americo Martins;americo@hotmail.com;38;Minas Gerais;Sudeste;992000000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;03/06/2018;Wanderson Martins;wanderson@gmail.com;69;Rondìnia;Norte;999900000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;03/06/2018;Barbara Martins;barbara@hotmail.com;38;Minas Gerais;Sudeste;991800000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;03/06/2018;Olivier Martins;olivier@gmail.com;41;Paran†;Sul;999500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;03/06/2018;Claudilene Martins;claudilene@gmail.com;21;Rio de Janeiro;Sudeste;982700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;03/06/2018;Jo∆o Martins;joao@gmail.com;37;Minas Gerais;Sudeste;998600000
Produto C;R$ 2.000;Cart∆o de Credito;3;Parcelado;03/06/2018;Allan Martins;allan@hotmail.com;11;S∆o Paulo;Sudeste;954800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;03/06/2018;Adeilson Martins;adeilson@gmail.com;31;Minas Gerais;Sudeste;988000000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;03/06/2018;Lucineia Martins;lucineia@gmail.com;92;Amazonas;Norte;998400000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;03/06/2018;Marielli Martins;marielli@yahoo.com.br;41;Paran†;Sul;999700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;03/06/2018;Sidely Martins;sidely@gmail.com;51;Rio Grande do Sul;Sul;985700000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;04/06/2018;Elcio Martins;elcio@hotmail.com;21;Rio de Janeiro;Sudeste;970200000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;04/06/2018;Rodrigo Martins;rodrigo@hotmail.com;11;S∆o Paulo;Sudeste;980500000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;04/06/2018;Luisa Martins;luisa@gmail.com;21;Rio de Janeiro;Sudeste;969100000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;04/06/2018;Romeo Martins;romeo@hotmail.com;51;Rio Grande do Sul;Sul;999500000
Produto B;R$ 1.000;Cart∆o de Credito;10;Parcelado;04/06/2018;Iderval Martins;iderval@gmail.com;24;Rio de Janeiro;Sudeste;999500000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;05/06/2018;Allen Martins;allen@hotmail.com;11;S∆o Paulo;Sudeste;960800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;05/06/2018;Lizziane Martins;lizziane@gmail.com;31;Minas Gerais;Sudeste;980100000
Produto B;R$ 1.000;Cart∆o de Credito;6;Parcelado;05/06/2018;Lucio Martins;lucio@gmail.com;31;Minas Gerais;Sudeste;988300000
Produto A;R$ 500;Cart∆o de Credito;4;Parcelado;05/06/2018;Chuyen Martins;chuyen@yahoo.com.br;21;Rio de Janeiro;Sudeste;981000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;05/06/2018;Mirian Martins;mirian@hotmail.com;21;Rio de Janeiro;Sudeste;982100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/06/2018;Thuane Martins;thuane@gmail.com;11;S∆o Paulo;Sudeste;982500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/06/2018;Andràyna Martins;andreyna@gmail.com;11;S∆o Paulo;Sudeste;983600000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;06/06/2018;Doriane Martins;doriane@hotmail.com;31;Minas Gerais;Sudeste;985000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/06/2018;Laura Martins;laura@gmail.com;47;Santa Catarina;Sul;999700000
Produto B;R$ 1.000;Cart∆o de Credito;4;Parcelado;06/06/2018;Litielli Martins;litielli@gmail.com;48;Santa Catarina;Sul;998000000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/06/2018;Glauce Martins;glauce@gmail.com;21;Rio de Janeiro;Sudeste;988800000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;06/06/2018;Nathacha Martins;nathacha@gmail.com;82;Alagoas;Nordeste;996200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;06/06/2018;Tpv Martins;tpv@gmail.com;21;Rio de Janeiro;Sudeste;968900000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;06/06/2018;Sueli Martins;sueli@gmail.com;21;Rio de Janeiro;Sudeste;993700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;06/06/2018;Ruiz Martins;ruiz@gmail.com;16;S∆o Paulo;Sudeste;982200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;07/06/2018;Karel Martins;karel@gmail.com;65;Mato Grosso;Centro-Oeste;999100000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;07/06/2018;Suany Martins;suany@gmail.com;21;Rio de Janeiro;Sudeste;993400000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;07/06/2018;Nuanderson Martins;nuanderson@outlook.com;61;Distrito Federal;Centro-Oeste;991200000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;07/06/2018;Erik Martins;erik@gmail.com;11;S∆o Paulo;Sudeste;956600000
Produto C;R$ 2.000;Cart∆o de Credito;12;Parcelado;07/06/2018;Wigor Martins;wigor@msn.com;34;Minas Gerais;Sudeste;998300000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;07/06/2018;Randon Martins;randon@hotmail.com;31;Minas Gerais;Sudeste;998900000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;08/06/2018;Elisangela Martins;elisangela@hotmail.com;11;S∆o Paulo;Sudeste;996400000
Produto A;R$ 500;Cart∆o de Credito;5;Parcelado;08/06/2018;Itana Martins;itana@gmail.com;71;Bahia;Nordeste;988100000
Produto A;R$ 500;Cart∆o de Credito;10;Parcelado;08/06/2018;Volni Martins;volni@hotmail.com;49;Santa Catarina;Sul;991600000
Produto A;R$ 500;Cart∆o de Credito;6;Parcelado;08/06/2018;Iane Martins;iane@gmail.com;21;Rio de Janeiro;Sudeste;999800000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;08/06/2018;Thaisa Martins;thaisa@gmail.com;81;Pernambuco;Nordeste;995300000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;08/06/2018;Alcion Martins;alcion@hotmail.com;42;Paran†;Sul;999100000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;09/06/2018;Anilton Martins;anilton@hotmail.com;19;S∆o Paulo;Sudeste;981700000
Produto A;R$ 500;Boleto Banc†rio;1;∑ vista;09/06/2018;Dionata Martins;dionata@hotmail.com;51;Rio Grande do Sul;Sul;999100000
Produto B;R$ 1.000;Cart∆o de Credito;12;Parcelado;09/06/2018;ElizÉngela Martins;elizangela@gmail.com;67;Mato Grosso do Sul;Centro-Oeste;996700000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;09/06/2018;Daiana Martins;daiana@gmail.com;19;S∆o Paulo;Sudeste;933000000
Produto C;R$ 2.000;Boleto Banc†rio;1;∑ vista;10/06/2018;Oswaldo Martins;oswaldo@gmail.com;98;Maranh∆o;Nordeste;988300000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;10/06/2018;Entec Martins;entec@gmail.com;41;Paran†;Sul;992200000
Produto A;R$ 500;Boleto Banc†rio;12;Parcelado;10/06/2018;Walkimar Martins;walkimar@gmail.com;69;Rondìnia;Norte;993500000
Produto A;R$ 500;Cart∆o de Credito;12;Parcelado;10/06/2018;Gabrie Martins;gabrie@gmail.com;92;Amazonas;Norte;988400000
Produto A;R$ 500;Cart∆o de Credito;1;∑ vista;10/06/2018;Francinete Martins;francinete@hotmail.com;16;S∆o Paulo;Sudeste;993000000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;10/06/2018;Julio Martins;julio@gmail.com;13;S∆o Paulo;Sudeste;991600000
Produto B;R$ 1.000;Boleto Banc†rio;1;∑ vista;10/06/2018;Eli Martins;eli@gmail.com;31;Minas Gerais;Sudeste;994700000
Produto B;R$ 1.000;Cart∆o de Credito;1;∑ vista;11/06/2018;Hiago Martins;hiago@gmail.com;11;S∆o Paulo;Sudeste;997800000
